SOi,Noi,RSPMi,SPMi,AQI
5.0,27.5,39.0,145.0732290673237,145.0732290673237
30.0,33.625,177.77551020408163,172.66666666666666,177.77551020408163
20.125,26.75,93.0,167.33333333333331,167.33333333333331
2.5,22.5,30.0,145.0732290673237,145.0732290673237
23.75,112.0,0.0,189.00434927470332,189.00434927470332
11.0,21.124999999999996,113.12244897959184,180.66666666666666,180.66666666666666
10.625,24.0,0.0,170.0,170.0
2.5,13.75,48.0,145.0732290673237,145.0732290673237
17.875,42.12500000000001,0.0,249.0,249.0
11.375,37.0,0.0,196.0,196.0
7.75,21.749999999999996,48.0,89.0,89.0
2.5,27.5,32.0,117.81937623869312,117.81937623869312
25.0,80.0,177.77551020408163,189.00434927470332,189.00434927470332
11.25,92.5,0.0,189.00434927470332,189.00434927470332
17.5,18.75,145.44897959183675,173.37836342959858,173.37836342959858
13.75,18.75,161.6122448979592,173.37836342959858,173.37836342959858
5.0,28.75,41.0,117.81937623869312,117.81937623869312
23.75,30.0,89.0,161.0452865463435,161.0452865463435
28.0,35.25,141.40816326530611,142.0,142.0
4.125,5.875,73.749430523918,86.0,86.0
2.5,25.0,80.0,145.0732290673237,145.0732290673237
2.5,111.0,0.0,361.7526103681993,361.7526103681993
14.48426227011652,23.299495322397007,79.0,126.0,126.0
12.5,27.5,0.0,145.0732290673237,145.0732290673237
2.5,18.75,63.0,189.00434927470332,189.00434927470332
7.5,12.5,36.0,11.7,36.0
13.875,75.5,95.33333333,142.2222222,142.2222222
10.0,12.124999999999998,48.0,85.0,85.0
12.5,17.5,167.6734693877551,173.37836342959858,173.37836342959858
16.25,21.25,97.0,161.0452865463435,161.0452865463435
10.921590909090892,66.86143374547261,0.0,401.6279069767442,401.6279069767442
20.0,25.0,0.0,117.81937623869312,117.81937623869312
17.5,23.75,92.0,161.0452865463435,161.0452865463435
5.0,11.25,61.0,67.25419256550896,67.25419256550896
2.5,36.25,161.6122448979592,173.37836342959858,173.37836342959858
21.25,22.25,128.7158934890604,173.37836342959858,173.37836342959858
6.625,49.74999999999999,34.66666667,89.66666667,89.66666667
10.0,28.75,40.0,117.81937623869312,117.81937623869312
20.625,38.75,107.06122448979592,150.66666666666666,150.66666666666666
13.75,28.625,183.83673469387753,266.0,266.0
25.625,33.75,94.0,101.33333333333333,101.33333333333333
5.75,30.0,55.0,92.0,92.0
5.0,53.5,0.0,479.30232558139534,479.30232558139534
20.0,27.0,58.0,95.0,95.0
10.0,40.0,46.0,117.81937623869312,117.81937623869312
8.375,81.375,61.0,120.66666666666666,120.66666666666666
22.5,21.25,32.0,117.81937623869312,117.81937623869312
39.75,49.74999999999999,173.73469387755102,164.0,173.73469387755102
30.875,16.25,98.24450975251996,161.0452865463435,161.0452865463435
2.5,26.25,0.0,173.37836342959858,173.37836342959858
8.75,17.5,0.0,201.0,201.0
2.5,31.625,0.0,182.66666666666666,182.66666666666666
2.5,15.0,49.0,145.0732290673237,145.0732290673237
6.594842473350697,12.5,34.0,61.0,61.0
16.25,26.875,42.0,98.0,98.0
17.25,10.625,66.58563750532086,113.33333333333333,113.33333333333333
28.75,36.25,177.10877551020405,150.66666666666666,177.10877551020405
10.0,21.25,59.0,34.61,59.0
17.5,30.375,87.0,154.0,154.0
8.75,11.25,57.0,122.0,122.0
13.0,19.375,0.0,254.0,254.0
7.875,12.625,123.22448979591837,168.66666666666666,168.66666666666666
9.0,44.74999999999999,0.0,266.0,266.0
11.25,73.75,0.0,189.00434927470332,189.00434927470332
